report_code,report_date,fight_id,fight_name,encounter_id,fight_result,duration_seconds,fight_start_timestamp,difficulty,raid_size,player_name,player_id,warcraft_logs_source_id,class,spec,role,item_level,damage_done,damage_done_reduced,damage_per_second,damage_active_time_seconds,damage_active_time_percent,damage_taken,damage_taken_reduced,damage_taken_per_second,damage_taken_active_time_seconds,healing_done,healing_done_reduced,healing_per_second,overhealing,healing_active_time_seconds,healing_received,healing_received_reduced,healing_received_per_second,cast_count,casts_per_minute,death_count,interrupt_count,dispel_count,attempt_number,active_time_ms,active_time_seconds,active_time_percent,player_count
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Mydrood,P-71a55fed3a6d81f1,103,Druid,Balance,DPS,303.0,37828367.0,36688835.0,150187.065,249.584,99.09,6183811.0,5155805.0,24551.111,248.005,502517.0,98802.0,1995.105,6.0,34.887,2273146.0,98802.0,9024.897,166,39.543,0,1,0,1,249584.0,249.584,99.09,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Mârtirio,P-33f7de3f76a79e7e,93,Priest,Holy,Healer,303.0,88463.0,0.0,351.218,8.038,3.19,8373693.0,7595648.0,33245.431,248.005,39721006.0,38405344.0,157701.265,29754668.0,247.148,8103541.0,5262293.0,32172.867,125,29.777,0,0,0,1,8038.0,8.038,3.19,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Palkia,P-a5fe401220b6edea,225,Shaman,Enhancement,DPS,306.0,39713389.0,39631003.0,157671.023,250.161,99.32,5955274.0,5768273.0,23643.768,248.004,1349401.0,0.0,5357.423,66540.0,246.006,1685871.0,0.0,6693.284,173,41.211,0,0,0,1,250161.0,250.161,99.32,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Quetzalli,P-7bba87320072e411,113,Monk,Windwalker,DPS,292.0,22055681.0,0.0,87565.979,235.042,93.32,5902958.0,4834239.0,23436.062,246.0,781667.0,259621.0,3103.393,545646.0,247.306,3572746.0,2258332.0,14184.6,123,29.3,0,1,0,1,235042.0,235.042,93.32,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Raginbull,P-697db713a2d497c5,151,Warrior,Arms,DPS,316.0,33811471.0,0.0,134239.091,235.047,93.32,6185576.0,5916877.0,24558.118,246.0,2535001.0,0.0,10064.52,1085612.0,232.664,2622256.0,0.0,10410.942,126,30.015,0,1,0,1,235047.0,235.047,93.32,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Reignyskyes,P-4cb9858bc6378843,99,Shaman,Restoration,Healer,316.0,1453021.0,0.0,5768.818,209.935,83.35,8517803.0,7621052.0,33817.58,246.0,30157080.0,29681421.0,119730.342,22065946.0,251.03,6604578.0,4847496.0,26221.65,130,30.968,0,0,0,1,209935.0,209.935,83.35,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Shockabeotch,P-26d1d86078024e5b,4,Shaman,Elemental,DPS,311.0,29018241.0,20564532.0,115208.897,250.588,99.49,7197783.0,6693849.0,28576.806,248.004,2201804.0,2163648.0,8741.654,258168.0,248.91,3236323.0,1228754.0,12848.925,122,29.062,0,2,0,1,250588.0,250.588,99.49,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Soliloquy,P-ace0c6b4dcb42bd6,108,Priest,Shadow,DPS,318.0,48684132.0,46369271.0,193286.876,249.355,99.0,6405303.0,4404197.0,25430.483,245.999,6797895.0,5040728.0,26989.161,6800065.0,246.277,3929761.0,2172594.0,15602.029,141,33.588,0,0,0,1,249355.0,249.355,99.0,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Sonshot,P-ae5c48e656ae40da,105,Hunter,BeastMastery,DPS,295.0,35347477.0,14483102.0,140337.378,248.896,98.82,6942326.0,6397819.0,27562.585,246.0,505240.0,0.0,2005.916,330272.0,237.205,4453766.0,2175329.0,17682.446,170,40.496,0,0,0,1,248896.0,248.896,98.82,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Sparklë,P-373c9381dbb42033,95,Druid,Balance,DPS,309.0,35505878.0,34584287.0,140966.265,251.78,99.96,6929796.0,6174546.0,27512.838,248.004,92776.0,73022.0,368.341,1.0,9.975,2880098.0,2831375.0,11434.632,157,37.4,0,0,0,1,251780.0,251.78,99.96,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Spluss,P-8ed204ced1a06675,98,Warlock,Affliction,DPS,281.0,34188348.0,26717893.0,135735.377,249.252,98.96,6694473.0,4371349.0,26578.553,249.499,2308953.0,448623.0,9167.059,1434624.0,249.499,1907256.0,448623.0,7572.232,137,32.635,0,0,0,1,249252.0,249.252,98.96,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Squalliiv,P-35a3ad6b0dfe25a8,94,Paladin,Retribution,DPS,315.0,44756314.0,0.0,177692.562,249.68,99.13,5657329.0,5166359.0,22460.86,248.004,1760201.0,1429578.0,6988.391,847005.0,249.601,2149776.0,672795.0,8535.091,344,81.945,0,2,0,1,249680.0,249.68,99.13,21
1Pwx2hQvg7cDZbC9,2026-09-08,29,The Lost Explorers,3497,KILL,251.875,5809650.0,3.0,21.0,Wolfcaza,P-2970caa91e8a550f,110,Hunter,BeastMastery,DPS,296.0,28715488.0,14113714.0,114006.9,249.579,99.09,4843777.0,4478832.0,19230.876,248.004,481396.0,462318.0,1911.25,99270.0,249.369,418219.0,366548.0,1660.423,168,40.02,0,0,0,1,249579.0,249.579,99.09,21
1Pwx2hQvg7cDZbC9,2026-09-08,33,Sszorak,3420,KILL,308.454,6515635.0,3.0,20.0,Benzd,P-a077801d1f846742,148,Druid,Balance,DPS,310.0,37580458.0,36476509.0,121834.886,306.639,99.41,8819469.0,8119083.0,28592.494,305.987,469281.0,336501.0,1521.397,0.0,16.467,553729.0,336501.0,1795.175,177,34.43,0,0,0,1,306639.0,306.639,99.41,20
1Pwx2hQvg7cDZbC9,2026-09-08,33,Sszorak,3420,KILL,308.454,6515635.0,3.0,20.0,Chontosh,P-81cad9c290ac9716,104,Paladin,Holy,Healer,307.0,1902761.0,0.0,6168.703,179.866,58.31,14792472.0,12849302.0,47956.817,305.987,67660597.0,59772707.0,219353.93,37972988.0,306.374,8739354.0,9976842.0,28332.763,187,36.375,0,0,0,1,179866.0,179.866,58.31,20
1Pwx2hQvg7cDZbC9,2026-09-08,33,Sszorak,3420,KILL,308.454,6515635.0,3.0,20.0,Demonvini,P-d7a10f6ccf5cf6da,96,DemonHunter,Vengeance,Tank,314.0,16092058.0,0.0,52170.042,308.016,99.86,47840203.0,40704691.0,155096.718,307.074,26142500.0,19927044.0,84753.318,8377175.0,307.977,49328818.0,37178260.0,159922.77,178,34.624,0,0,0,1,308016.0,308.016,99.86,20
1Pwx2hQvg7cDZbC9,2026-09-08,33,Sszorak,3420,KILL,308.454,6515635.0,3.0,20.0,Dshivà,P-c1f562d9a0fa7104,97,Paladin,Retribution,DPS,318.0,46635536.0,0.0,151191.218,305.495,99.04,13480290.0,12357962.0,43702.756,305.987,5114597.0,4290834.0,16581.393,1516358.0,304.857,7761151.0,2374435.0,25161.454,408,79.364,0,0,0,1,305495.0,305.495,99.04,20
1Pwx2hQvg7cDZbC9,2026-09-08,33,Sszorak,3420,KILL,308.454,6515635.0,3.0,20.0,Felphantomxx,P-421b6dd3909d6bc1,107,DemonHunter,Devourer,DPS,300.0,31322897.0,0.0,101548.033,305.606,99.08,10053877.0,9651873.0,32594.413,306.146,4504712.0,4336804.0,14604.161,3611808.0,304.643,4504712.0,4336804.0,14604.161,136,26.455,0,0,0,1,305606.0,305.606,99.08,20
